id,number,title,source,year,difficulty,pdfUrl,new_difficulty,primary_category,secondary_tags,notes
cmhhxsqo2009tl4041y8gp9a6,LH-IOL-2021-4,IOL 2021 Problem 4,IOL,2021,4,/olympiad-problems/IOL/by-year/2021/iol-2021-i4.pdf,,,,
cmhhxsw5p009xl404irwjn52b,LH-IOL-2021-5,IOL 2021 Problem 5,IOL,2021,4,/olympiad-problems/IOL/by-year/2021/iol-2021-i5.pdf,,,,
cmhhxt3fl00a1l404ztu8e07p,LH-IOL-2022-1,IOL 2022 Problem 1,IOL,2022,1,/olympiad-problems/IOL/by-year/2022/iol-2022-i1.pdf,,,,
cmhhxt8wt00a5l404afzj8fr4,LH-IOL-2022-2,IOL 2022 Problem 2,IOL,2022,2,/olympiad-problems/IOL/by-year/2022/iol-2022-i2.pdf,,,,
cmhhxte8100a9l404iordtu1u,LH-IOL-2022-3,IOL 2022 Problem 3,IOL,2022,2,/olympiad-problems/IOL/by-year/2022/iol-2022-i3.pdf,,,,
cmhhxtjpa00adl404d3qs0ag3,LH-IOL-2022-4,IOL 2022 Problem 4,IOL,2022,4,/olympiad-problems/IOL/by-year/2022/iol-2022-i4.pdf,,,,
cmhhxtp0e00ahl404kg30n4k8,LH-IOL-2022-5,IOL 2022 Problem 5,IOL,2022,4,/olympiad-problems/IOL/by-year/2022/iol-2022-i5.pdf,,,,
cmhhxtubj00all404s9u17l5n,LH-IOL-2023-1,IOL 2023 Problem 1,IOL,2023,1,/olympiad-problems/IOL/by-year/2023/iol-2023-i1.pdf,,,,
cmhhxtzsl00apl404r3mz2lxj,LH-IOL-2023-2,IOL 2023 Problem 2,IOL,2023,2,/olympiad-problems/IOL/by-year/2023/iol-2023-i2.pdf,,,,
cmhhxu53x00atl40423ow8bub,LH-IOL-2023-3,IOL 2023 Problem 3,IOL,2023,2,/olympiad-problems/IOL/by-year/2023/iol-2023-i3.pdf,,,,
cmhhxucst00axl404g3rfeu59,LH-IOL-2023-4,IOL 2023 Problem 4,IOL,2023,4,/olympiad-problems/IOL/by-year/2023/iol-2023-i4.pdf,,,,
cmhhxuic700b1l404t5oal88h,LH-IOL-2023-5,IOL 2023 Problem 5,IOL,2023,4,/olympiad-problems/IOL/by-year/2023/iol-2023-i5.pdf,,,,
